id	item_group_id	title	description	link	image_link	additional_image_link	price	availability	condition	brand	mpn	gtin	size	color	shipping
AD-16866902617-36 2/3	15592279081308	Adidas Originals Black And White Athletic Sneakers	The SAMBA JP Women's Sneakers by Adidas are an iconic choice for those who want to combine style and practicality. Crafted entirely from eco-leather, they offer a comfortable and durable fit, ideal for everyday use. The classic design is enhanced by the unmistakable Adidas three side stripes and reinforced toe for added protection. The rubber sole ensures excellent grip on various surfaces, while the lace-up closure allows for a personalized fit. Material: Eco-leather.	https://noavvo.com/products/adidas-originals-black-and-white-artificial-leather-athletic-sneakers?variant=57682889703772	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086898012.jpg?v=1780918150	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086930780.jpg?v=1780918181,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086963548.jpg?v=1780918194,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086996316.jpg?v=1780918211	78.00 GBP	in stock	new	Adidas Originals	AD-16866902617-36 2/3	4068803781881	36 2/3		GB:::9.99 GBP
AD-16866902617-EU36/US6	15592279081308	Adidas Originals Black And White Athletic Sneakers	The SAMBA JP Women's Sneakers by Adidas are an iconic choice for those who want to combine style and practicality. Crafted entirely from eco-leather, they offer a comfortable and durable fit, ideal for everyday use. The classic design is enhanced by the unmistakable Adidas three side stripes and reinforced toe for added protection. The rubber sole ensures excellent grip on various surfaces, while the lace-up closure allows for a personalized fit. Material: Eco-leather.	https://noavvo.com/products/adidas-originals-black-and-white-artificial-leather-athletic-sneakers?variant=58163242991964	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086898012.jpg?v=1780918150	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086930780.jpg?v=1780918181,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086963548.jpg?v=1780918194,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086996316.jpg?v=1780918211	78.00 GBP	in stock	new	Adidas Originals	AD-16866902617-EU36/US6	4068803781898	EU36/US6		GB:::9.99 GBP
AD-16866902617-37 1/3	15592279081308	Adidas Originals Black And White Athletic Sneakers	The SAMBA JP Women's Sneakers by Adidas are an iconic choice for those who want to combine style and practicality. Crafted entirely from eco-leather, they offer a comfortable and durable fit, ideal for everyday use. The classic design is enhanced by the unmistakable Adidas three side stripes and reinforced toe for added protection. The rubber sole ensures excellent grip on various surfaces, while the lace-up closure allows for a personalized fit. Material: Eco-leather.	https://noavvo.com/products/adidas-originals-black-and-white-artificial-leather-athletic-sneakers?variant=57682889671004	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086898012.jpg?v=1780918150	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086930780.jpg?v=1780918181,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086963548.jpg?v=1780918194,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086996316.jpg?v=1780918211	78.00 GBP	in stock	new	Adidas Originals	AD-16866902617-37 1/3	4068803781843	37 1/3		GB:::9.99 GBP
AD-16866902617-38 2/3	15592279081308	Adidas Originals Black And White Athletic Sneakers	The SAMBA JP Women's Sneakers by Adidas are an iconic choice for those who want to combine style and practicality. Crafted entirely from eco-leather, they offer a comfortable and durable fit, ideal for everyday use. The classic design is enhanced by the unmistakable Adidas three side stripes and reinforced toe for added protection. The rubber sole ensures excellent grip on various surfaces, while the lace-up closure allows for a personalized fit. Material: Eco-leather.	https://noavvo.com/products/adidas-originals-black-and-white-artificial-leather-athletic-sneakers?variant=57682889605468	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086898012.jpg?v=1780918150	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086930780.jpg?v=1780918181,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086963548.jpg?v=1780918194,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086996316.jpg?v=1780918211	78.00 GBP	in stock	new	Adidas Originals	AD-16866902617-38 2/3	4068803781911	38 2/3		GB:::9.99 GBP
AD-16866902617-EU38/US8	15592279081308	Adidas Originals Black And White Athletic Sneakers	The SAMBA JP Women's Sneakers by Adidas are an iconic choice for those who want to combine style and practicality. Crafted entirely from eco-leather, they offer a comfortable and durable fit, ideal for everyday use. The classic design is enhanced by the unmistakable Adidas three side stripes and reinforced toe for added protection. The rubber sole ensures excellent grip on various surfaces, while the lace-up closure allows for a personalized fit. Material: Eco-leather.	https://noavvo.com/products/adidas-originals-black-and-white-artificial-leather-athletic-sneakers?variant=57682889638236	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086898012.jpg?v=1780918150	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086930780.jpg?v=1780918181,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086963548.jpg?v=1780918194,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-and-white-artificial-leather-athletic-sneakers__69902086996316.jpg?v=1780918211	78.00 GBP	in stock	new	Adidas Originals	AD-16866902617-EU38/US8	4068803781850	EU38/US8		GB:::9.99 GBP
AD-16665500009-36 2/3	15592277246300	Adidas Originals Black Suede Low Top Sneakers	The Handball Spezial Sneakers by Adidas are a perfect blend of style and comfort. Crafted from suede leather, these shoes offer a luxurious feel and long-lasting durability. The iconic Adidas design is enhanced by distinctive details that make them suitable for any occasion, whether for a casual look or a sporty touch. Material: Calf leather.	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers-1?variant=57682884067676	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065140060.jpg?v=1780918306	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065172828.jpg?v=1780918319,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065205596.jpg?v=1780918332,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065238364.jpg?v=1780918346	77.00 GBP	in stock	new	Adidas Originals	AD-16665500009-36 2/3	4067888534719	36 2/3	Black	GB:::9.99 GBP
AD-16665500009-37 1/3	15592277246300	Adidas Originals Black Suede Low Top Sneakers	The Handball Spezial Sneakers by Adidas are a perfect blend of style and comfort. Crafted from suede leather, these shoes offer a luxurious feel and long-lasting durability. The iconic Adidas design is enhanced by distinctive details that make them suitable for any occasion, whether for a casual look or a sporty touch. Material: Calf leather.	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers-1?variant=57682884034908	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065140060.jpg?v=1780918306	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065172828.jpg?v=1780918319,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065205596.jpg?v=1780918332,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065238364.jpg?v=1780918346	77.00 GBP	in stock	new	Adidas Originals	AD-16665500009-37 1/3	4067888534702	37 1/3	Black	GB:::9.99 GBP
AD-16665500009-EU38/US8	15592277246300	Adidas Originals Black Suede Low Top Sneakers	The Handball Spezial Sneakers by Adidas are a perfect blend of style and comfort. Crafted from suede leather, these shoes offer a luxurious feel and long-lasting durability. The iconic Adidas design is enhanced by distinctive details that make them suitable for any occasion, whether for a casual look or a sporty touch. Material: Calf leather.	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers-1?variant=57682884133212	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065140060.jpg?v=1780918306	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065172828.jpg?v=1780918319,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065205596.jpg?v=1780918332,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers-1__69902065238364.jpg?v=1780918346	77.00 GBP	in stock	new	Adidas Originals	AD-16665500009-EU38/US8	4067888534689	EU38/US8	Black	GB:::9.99 GBP
AD-15195200009-37 1/3	15614518624604	Adidas Originals Black Suede Low Top Sneakers	The Adidas Gazelle Bold W IE0876 women’s sneakers are a perfect blend of style and comfort. Made from 100% suede, these shoes provide a soft and durable feel. The iconic design is enhanced by distinctive details, such as the three lateral stripes that characterize the Adidas brand. The rubber sole offers excellent grip and cushioning, making them ideal for everyday use or more casual occasions. Perfect for completing a sporty-chic look, these sneakers are a must-have in every modern woman’s wardrobe. Season: SS25	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers?variant=57795597107548	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313812828.jpg?v=1780918239	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313845596.jpg?v=1780918252,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313878364.jpg?v=1780918265,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313911132.jpg?v=1780918278	98.00 GBP	in stock	new	Adidas Originals	AD-15195200009-37 1/3	4067886770829	37 1/3	Black	GB:::9.99 GBP
AD-15195200009-38 2/3	15614518624604	Adidas Originals Black Suede Low Top Sneakers	The Adidas Gazelle Bold W IE0876 women’s sneakers are a perfect blend of style and comfort. Made from 100% suede, these shoes provide a soft and durable feel. The iconic design is enhanced by distinctive details, such as the three lateral stripes that characterize the Adidas brand. The rubber sole offers excellent grip and cushioning, making them ideal for everyday use or more casual occasions. Perfect for completing a sporty-chic look, these sneakers are a must-have in every modern woman’s wardrobe. Season: SS25	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers?variant=57795597074780	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313812828.jpg?v=1780918239	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313845596.jpg?v=1780918252,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313878364.jpg?v=1780918265,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313911132.jpg?v=1780918278	98.00 GBP	in stock	new	Adidas Originals	AD-15195200009-38 2/3	4067886767645	38 2/3	Black	GB:::9.99 GBP
